,names,scores,logfoldchanges,pvals,pvals_adj
201,CLINT1,16.213629,1.8156836,4.039879385636015e-59,4.5842919778445606e-57
202,OXA1L,16.213158,1.6245953,4.070975213323902e-59,4.597475022013592e-57
203,GNAI2,16.204966,1.5649004,4.651458276421023e-59,5.228017604684067e-57
204,LY6E,16.18561,1.7669722,6.371584030006175e-59,7.127416960200747e-57
205,ARPC1B,16.170128,2.0606198,8.192923012271991e-59,9.121583106540368e-57
207,AP2M1,16.123549,2.1587117,1.7430542501704548e-58,1.9224910965781889e-56
208,HIGD2A,16.062588,1.668154,4.666699580399247e-58,5.123167916100625e-56
209,MBD2,16.05179,1.4569703,5.553847903270588e-58,6.068864447263689e-56
210,ST6GALNAC4,16.050638,1.7033834,5.6578745425903705e-58,6.154046674136429e-56
211,ARHGAP25,16.01656,1.351161,9.792115239534383e-58,1.0601986054987615e-55
212,MAP1LC3B,15.990803,1.6249008,1.4810945809577742e-57,1.596268282846865e-55
213,NCF1,15.974587,1.9004481,1.9212055036607007e-57,2.061191522859251e-55
214,PDIA6,15.967743,1.783409,2.144049673206594e-57,2.2898644541491055e-55
215,SF1,15.952051,1.8953805,2.7569144254826353e-57,2.931146449759759e-55
216,SLC25A5,15.946593,1.6650827,3.00865886322538e-57,3.1844562846954546e-55
217,EZR,15.938191,4.904076,3.4417066984352345e-57,3.626544785855662e-55
218,TRAPPC2L,15.857062,2.1417766,1.2563424323909472e-56,1.3179311302988233e-54
219,FNBP1,15.854707,1.8787189,1.304349427600272e-56,1.3622371477720895e-54
220,TGFBR2,15.8398,1.9759457,1.6534535511465708e-56,1.7192274963750004e-54
221,CAPNS1,15.835311,1.7068415,1.7757839963652315e-56,1.838325862553007e-54
222,CSNK1E,15.76159,1.9431814,5.717647642706334e-56,5.893171934969327e-54
223,HDAC7,15.705405,2.0076096,1.3888714496281585e-55,1.4252840358944967e-53
224,SARAF,15.67232,2.5317118,2.3388283382620495e-55,2.3897560722077557e-53
225,ATP2A3,15.653749,1.8654755,3.1321058829117375e-55,3.186512722170937e-53
226,HIST1H1E,15.609082,1.8717812,6.313909754913745e-55,6.396017680052753e-53
227,TCP11L2,15.585001,1.43016,9.20619901403321e-55,9.28606475761649e-53
228,ATP5F1E,15.568328,2.8037918,1.1949084228720966e-54,1.2001456810659616e-52
229,CCDC88A,15.543357,3.3493075,1.7649175767917026e-54,1.765141930720956e-52
230,SSR2,15.51815,1.5482626,2.614801440681566e-54,2.6040995107344727e-52
231,EIF3L,15.505507,1.6389061,3.1838916842428533e-54,3.1575376228228597e-52
232,NOP58,15.485301,1.3854778,4.360179745671904e-54,4.3059967588742235e-52
233,SEL1L3,15.452726,1.4151742,7.231880768231298e-54,7.112253407190139e-52
234,SESN3,15.4378195,1.7510711,9.112915080419529e-54,8.924984839964404e-52
235,FBXO10,15.383533,1.5882572,2.111071368487829e-53,2.0589924591081914e-51
236,CD83,15.359178,4.576269,3.07451533355359e-53,2.9863286180191515e-51
237,TCFL5,15.347765,2.1205754,3.66600288398113e-53,3.5462568061724025e-51
238,PARP15,15.250342,2.1543093,1.6377265738339221e-52,1.577765727436819e-50
239,MEX3C,15.207808,1.8998352,3.138780531246949e-52,3.011570604838282e-50
240,IQSEC1,15.131247,1.6954622,1.0076843819348843e-51,9.629301403566426e-50
242,AFDN,15.084302,2.0620313,2.054360269635396e-51,1.9473520258716568e-49
243,UQCR11,15.081069,1.5886849,2.1574634631335391e-51,2.0369044048136372e-49
244,STK4,15.06382,1.6072537,2.801222590869896e-51,2.6341536578606435e-49
245,HMGB1,15.037436,2.0063877,4.174078609435088e-51,3.909554659464142e-49
246,SH3BP5,15.033811,2.4312065,4.408965555652179e-51,4.113233755338276e-49
247,CCDC18-AS1,14.983765,1.96027,9.37531905376519e-51,8.71203368606377e-49
