,names,scores,logfoldchanges,pvals,pvals_adj
300,TOMM5,14.134049,1.22969,2.342759423474538e-45,1.7895194392320232e-43
301,MARCH9,14.13189,1.7474507,2.415726059138761e-45,1.839302650769425e-43
302,CALM2,14.130908,1.2904,2.4496360191513753e-45,1.8591240823160742e-43
303,TSTD1,14.120425,2.0673583,2.842699635872283e-45,2.1505204969709452e-43
304,OGT,14.1154785,1.9392912,3.0493954877636896e-45,2.299516987146529e-43
305,EIF3D,14.096122,1.3223761,4.0121949146501877e-45,3.0159183621174645e-43
306,SET,14.084566,2.2413623,4.725538094544549e-45,3.540853195096349e-43
307,ERP29,14.08005,1.4658872,5.0373636083600407e-45,3.762559912915255e-43
308,ELOF1,14.045186,1.9479337,8.245188196364264e-45,6.1391538485421365e-43
309,ZNF266,14.044061,2.363402,8.37722423115937e-45,6.198358104327731e-43
310,SMAD2,14.006984,1.9568596,1.4127934505245454e-44,1.042067619147839e-42
311,CHCHD10,13.968834,1.3792161,2.4154992122162203e-44,1.7761067883470233e-42
312,RAPGEF1,13.9638605,1.3377765,2.5901512999897945e-44,1.898613078685066e-42
313,WDR83OS,13.957565,1.2388126,2.829347609846905e-44,2.0675260568178485e-42
314,EIF2B5,13.954961,1.8236883,2.9346217961008577e-44,2.1378357485607574e-42
315,CORO1B,13.908108,1.777714,5.655577766167038e-44,4.096990442490557e-42
316,TOMM20,13.908069,1.2304032,5.658682727839349e-44,4.096990442490557e-42
317,SLC7A6,13.894366,2.3277059,6.852742462245702e-44,4.946338848207502e-42
318,RIOK3,13.874434,1.5362247,9.050464725086355e-44,6.512747527628452e-42
319,OST4,13.8651285,1.2448224,1.0304089106491317e-43,7.392322649863664e-42
320,EIF2A,13.858362,1.5251566,1.1322765863314531e-43,8.098522505206451e-42
322,AP3B1,13.842462,1.8735961,1.412844867664773e-43,1.0044390786593867e-41
323,SMAD4,13.832306,1.5167539,1.6272022920260326e-43,1.153359029990704e-41
324,MIF,13.828693,1.6834445,1.7110004402057676e-43,1.2091240535981058e-41
325,PSMB1,13.820331,1.1081481,1.921852597437036e-43,1.3540742345464583e-41
328,EIF1B,13.79146,1.2456416,2.8689547588360746e-43,2.003430153041653e-41
329,FKBP8,13.752773,1.4365454,4.901407046813906e-43,3.4126227293790156e-41
330,SETX,13.719858,1.633471,7.721612253299572e-43,5.344669032687091e-41
331,MEF2B,13.672194,4.9003496,1.4883906857013503e-42,1.0272071741113735e-40
332,KLF6,13.657536,2.3745418,1.8203986639710333e-42,1.2526784159098628e-40
333,ZNF107,13.65713,1.6097367,1.8305671598909768e-42,1.2560138568286839e-40
334,PPP1CA,13.604492,1.4923587,3.7657274178381896e-42,2.5763033113981095e-40
335,C18orf32,13.569182,1.3436584,6.099838555600201e-42,4.1611124112090045e-40
336,ATP5F1B,13.555075,1.2370108,7.393709076012687e-42,5.0292136980152e-40
337,ENO1,13.54577,1.8070141,8.392998598046412e-42,5.692527181312915e-40
338,CCNI,13.503287,1.5810996,1.4955094010099212e-41,1.0114185785684004e-39
339,MBP,13.501808,1.4607711,1.5258381881808012e-41,1.0289816787323272e-39
340,CD47,13.500539,1.3616331,1.5523600704400736e-41,1.0438847505013407e-39
341,PHC3,13.476379,1.462105,2.1542044320440108e-41,1.4444797502708746e-39
342,ENTPD4,13.473409,1.5485573,2.2426797054582884e-41,1.499545866513654e-39
343,ZCCHC7,13.446606,1.3891472,3.223316558532381e-41,2.1491508681084685e-39
344,PDE4B,13.425613,1.3498243,4.2802458263366397e-41,2.845820908141513e-39
345,XRCC6,13.420667,1.2086544,4.575792718529767e-41,3.033776279085901e-39
347,PTPN7,13.363004,1.6337917,9.946846897157606e-41,6.557972829989134e-39
348,PARP1,13.360988,2.0514088,1.0219886001901894e-40,6.719219200637616e-39
349,ATP6V1F,13.359941,1.7597846,1.0364653099735173e-40,6.795469642029147e-39
350,BLK,13.356551,1.3542875,1.0847471124322566e-40,7.092323017933116e-39
351,ANXA2,13.245504,2.491928,4.790532045634633e-40,3.1235062948374103e-38
352,SMARCE1,13.238594,1.4176072,5.252280032924909e-40,3.4151395486811744e-38
